n 40, a 1.0, g 1, av_hit_count 0.624
n 40, a 1.0, g 2, av_hit_count 0.772
n 40, a 1.0, g 3, av_hit_count 0.607
n 40, a 1.0, g 4, av_hit_count 0.437
n 40, a 1.0, g 5, av_hit_count 0.307
n 40, a 1.0, g 6, av_hit_count 0.203
n 40, a 1.0, g 7, av_hit_count 0.132
n 40, a 1.0, g 8, av_hit_count 0.088
n 40, a 1.0, g 9, av_hit_count 0.043
n 40, a 1.0, g 10, av_hit_count 0.032
n 40, a 1.0, g 11, av_hit_count 0.015
n 40, a 1.0, g 12, av_hit_count 0.013
n 40, a 1.0, g 13, av_hit_count 0.012
n 40, a 1.0, g 14, av_hit_count 0.01
n 40, a 1.0, g 15, av_hit_count 0.008
n 40, a 1.0, g 16, av_hit_count 0.002
n 40, a 1.0, g 17, av_hit_count 0.006
n 40, a 1.0, g 18, av_hit_count 0.003
n 40, a 1.0, g 19, av_hit_count 0.001
n 40, a 1.0, g 20, av_hit_count 0.002
n 40, a 1.0, g 21, av_hit_count 0.001
n 40, a 1.0, g 22, av_hit_count 0.001
n 40, a 1.0, g 23, av_hit_count 0.001
n 40, a 1.0, g 24, av_hit_count 0.001
n 40, a 1.0, g 25, av_hit_count 0
n 40, a 1.0, g 26, av_hit_count 0.001
n 40, a 1.0, g 27, av_hit_count 0
n 40, a 1.0, g 28, av_hit_count 0
n 40, a 1.0, g 29, av_hit_count 0
n 40, a 1.0, g 30, av_hit_count 0
n 60, a 1.0, g 1, av_hit_count 0.669
n 60, a 1.0, g 2, av_hit_count 0.811
n 60, a 1.0, g 3, av_hit_count 0.727
n 60, a 1.0, g 4, av_hit_count 0.54
n 60, a 1.0, g 5, av_hit_count 0.359
n 60, a 1.0, g 6, av_hit_count 0.231
n 60, a 1.0, g 7, av_hit_count 0.149
n 60, a 1.0, g 8, av_hit_count 0.088
n 60, a 1.0, g 9, av_hit_count 0.067
n 60, a 1.0, g 10, av_hit_count 0.039
n 60, a 1.0, g 11, av_hit_count 0.027
n 60, a 1.0, g 12, av_hit_count 0.025
n 60, a 1.0, g 13, av_hit_count 0.01
n 60, a 1.0, g 14, av_hit_count 0.011
n 60, a 1.0, g 15, av_hit_count 0.007
n 60, a 1.0, g 16, av_hit_count 0.003
n 60, a 1.0, g 17, av_hit_count 0.004
n 60, a 1.0, g 18, av_hit_count 0.003
n 60, a 1.0, g 19, av_hit_count 0.001
n 60, a 1.0, g 20, av_hit_count 0
n 60, a 1.0, g 21, av_hit_count 0.001
n 60, a 1.0, g 22, av_hit_count 0.001
n 60, a 1.0, g 23, av_hit_count 0
n 60, a 1.0, g 24, av_hit_count 0.001
n 60, a 1.0, g 25, av_hit_count 0
n 60, a 1.0, g 26, av_hit_count 0.002
n 60, a 1.0, g 27, av_hit_count 0
n 60, a 1.0, g 28, av_hit_count 0
n 60, a 1.0, g 29, av_hit_count 0
n 60, a 1.0, g 30, av_hit_count 0.001
n 80, a 1.0, g 1, av_hit_count 0.706
n 80, a 1.0, g 2, av_hit_count 0.863
n 80, a 1.0, g 3, av_hit_count 0.792
n 80, a 1.0, g 4, av_hit_count 0.613
n 80, a 1.0, g 5, av_hit_count 0.428
n 80, a 1.0, g 6, av_hit_count 0.27
n 80, a 1.0, g 7, av_hit_count 0.167
n 80, a 1.0, g 8, av_hit_count 0.125
n 80, a 1.0, g 9, av_hit_count 0.082
n 80, a 1.0, g 10, av_hit_count 0.047
n 80, a 1.0, g 11, av_hit_count 0.032
n 80, a 1.0, g 12, av_hit_count 0.025
n 80, a 1.0, g 13, av_hit_count 0.013
n 80, a 1.0, g 14, av_hit_count 0.011
n 80, a 1.0, g 15, av_hit_count 0.006
n 80, a 1.0, g 16, av_hit_count 0.009
n 80, a 1.0, g 17, av_hit_count 0.003
n 80, a 1.0, g 18, av_hit_count 0.001
n 80, a 1.0, g 19, av_hit_count 0.001
n 80, a 1.0, g 20, av_hit_count 0
n 80, a 1.0, g 21, av_hit_count 0.001
n 80, a 1.0, g 22, av_hit_count 0
n 80, a 1.0, g 23, av_hit_count 0
n 80, a 1.0, g 24, av_hit_count 0
n 80, a 1.0, g 25, av_hit_count 0
n 80, a 1.0, g 26, av_hit_count 0.001
n 80, a 1.0, g 27, av_hit_count 0.003
n 80, a 1.0, g 28, av_hit_count 0
n 80, a 1.0, g 29, av_hit_count 0
n 80, a 1.0, g 30, av_hit_count 0
n 100, a 1.0, g 1, av_hit_count 0.738
n 100, a 1.0, g 2, av_hit_count 0.901
n 100, a 1.0, g 3, av_hit_count 0.838
n 100, a 1.0, g 4, av_hit_count 0.664
n 100, a 1.0, g 5, av_hit_count 0.462
n 100, a 1.0, g 6, av_hit_count 0.307
n 100, a 1.0, g 7, av_hit_count 0.209
n 100, a 1.0, g 8, av_hit_count 0.111
n 100, a 1.0, g 9, av_hit_count 0.068
n 100, a 1.0, g 10, av_hit_count 0.039
n 100, a 1.0, g 11, av_hit_count 0.04
n 100, a 1.0, g 12, av_hit_count 0.018
n 100, a 1.0, g 13, av_hit_count 0.014
n 100, a 1.0, g 14, av_hit_count 0.008
n 100, a 1.0, g 15, av_hit_count 0.011
n 100, a 1.0, g 16, av_hit_count 0.003
n 100, a 1.0, g 17, av_hit_count 0.001
n 100, a 1.0, g 18, av_hit_count 0.001
n 100, a 1.0, g 19, av_hit_count 0.003
n 100, a 1.0, g 20, av_hit_count 0
n 100, a 1.0, g 21, av_hit_count 0.003
n 100, a 1.0, g 22, av_hit_count 0
n 100, a 1.0, g 23, av_hit_count 0
n 100, a 1.0, g 24, av_hit_count 0.001
n 100, a 1.0, g 25, av_hit_count 0
n 100, a 1.0, g 26, av_hit_count 0.001
n 100, a 1.0, g 27, av_hit_count 0
n 100, a 1.0, g 28, av_hit_count 0
n 100, a 1.0, g 29, av_hit_count 0
n 100, a 1.0, g 30, av_hit_count 0
