n 40, a 0.5, g 1, av_hit_count 0.736
n 40, a 0.5, g 2, av_hit_count 0.495
n 40, a 0.5, g 3, av_hit_count 0.338
n 40, a 0.5, g 4, av_hit_count 0.215
n 40, a 0.5, g 5, av_hit_count 0.166
n 40, a 0.5, g 6, av_hit_count 0.101
n 40, a 0.5, g 7, av_hit_count 0.096
n 40, a 0.5, g 8, av_hit_count 0.071
n 40, a 0.5, g 9, av_hit_count 0.055
n 40, a 0.5, g 10, av_hit_count 0.055
n 40, a 0.5, g 11, av_hit_count 0.042
n 40, a 0.5, g 12, av_hit_count 0.025
n 40, a 0.5, g 13, av_hit_count 0.016
n 40, a 0.5, g 14, av_hit_count 0.017
n 40, a 0.5, g 15, av_hit_count 0.018
n 40, a 0.5, g 16, av_hit_count 0.013
n 40, a 0.5, g 17, av_hit_count 0.005
n 40, a 0.5, g 18, av_hit_count 0.009
n 40, a 0.5, g 19, av_hit_count 0.008
n 40, a 0.5, g 20, av_hit_count 0.005
n 40, a 0.5, g 21, av_hit_count 0.006
n 40, a 0.5, g 22, av_hit_count 0.004
n 40, a 0.5, g 23, av_hit_count 0.004
n 40, a 0.5, g 24, av_hit_count 0.001
n 40, a 0.5, g 25, av_hit_count 0.003
n 40, a 0.5, g 26, av_hit_count 0.004
n 40, a 0.5, g 27, av_hit_count 0.001
n 40, a 0.5, g 28, av_hit_count 0.002
n 40, a 0.5, g 29, av_hit_count 0.003
n 40, a 0.5, g 30, av_hit_count 0.002
n 60, a 0.5, g 1, av_hit_count 0.795
n 60, a 0.5, g 2, av_hit_count 0.504
n 60, a 0.5, g 3, av_hit_count 0.319
n 60, a 0.5, g 4, av_hit_count 0.219
n 60, a 0.5, g 5, av_hit_count 0.141
n 60, a 0.5, g 6, av_hit_count 0.101
n 60, a 0.5, g 7, av_hit_count 0.082
n 60, a 0.5, g 8, av_hit_count 0.062
n 60, a 0.5, g 9, av_hit_count 0.039
n 60, a 0.5, g 10, av_hit_count 0.024
n 60, a 0.5, g 11, av_hit_count 0.028
n 60, a 0.5, g 12, av_hit_count 0.01
n 60, a 0.5, g 13, av_hit_count 0.018
n 60, a 0.5, g 14, av_hit_count 0.017
n 60, a 0.5, g 15, av_hit_count 0.01
n 60, a 0.5, g 16, av_hit_count 0.008
n 60, a 0.5, g 17, av_hit_count 0.01
n 60, a 0.5, g 18, av_hit_count 0.011
n 60, a 0.5, g 19, av_hit_count 0.006
n 60, a 0.5, g 20, av_hit_count 0.006
n 60, a 0.5, g 21, av_hit_count 0.006
n 60, a 0.5, g 22, av_hit_count 0.006
n 60, a 0.5, g 23, av_hit_count 0.003
n 60, a 0.5, g 24, av_hit_count 0.002
n 60, a 0.5, g 25, av_hit_count 0.002
n 60, a 0.5, g 26, av_hit_count 0.002
n 60, a 0.5, g 27, av_hit_count 0
n 60, a 0.5, g 28, av_hit_count 0.001
n 60, a 0.5, g 29, av_hit_count 0.001
n 60, a 0.5, g 30, av_hit_count 0
n 80, a 0.5, g 1, av_hit_count 0.83
n 80, a 0.5, g 2, av_hit_count 0.502
n 80, a 0.5, g 3, av_hit_count 0.316
n 80, a 0.5, g 4, av_hit_count 0.197
n 80, a 0.5, g 5, av_hit_count 0.158
n 80, a 0.5, g 6, av_hit_count 0.102
n 80, a 0.5, g 7, av_hit_count 0.076
n 80, a 0.5, g 8, av_hit_count 0.06
n 80, a 0.5, g 9, av_hit_count 0.044
n 80, a 0.5, g 10, av_hit_count 0.032
n 80, a 0.5, g 11, av_hit_count 0.026
n 80, a 0.5, g 12, av_hit_count 0.029
n 80, a 0.5, g 13, av_hit_count 0.012
n 80, a 0.5, g 14, av_hit_count 0.013
n 80, a 0.5, g 15, av_hit_count 0.01
n 80, a 0.5, g 16, av_hit_count 0.007
n 80, a 0.5, g 17, av_hit_count 0.01
n 80, a 0.5, g 18, av_hit_count 0.007
n 80, a 0.5, g 19, av_hit_count 0.007
n 80, a 0.5, g 20, av_hit_count 0.004
n 80, a 0.5, g 21, av_hit_count 0.003
n 80, a 0.5, g 22, av_hit_count 0.005
n 80, a 0.5, g 23, av_hit_count 0.003
n 80, a 0.5, g 24, av_hit_count 0.002
n 80, a 0.5, g 25, av_hit_count 0.001
n 80, a 0.5, g 26, av_hit_count 0.005
n 80, a 0.5, g 27, av_hit_count 0.001
n 80, a 0.5, g 28, av_hit_count 0.002
n 80, a 0.5, g 29, av_hit_count 0
n 80, a 0.5, g 30, av_hit_count 0
n 100, a 0.5, g 1, av_hit_count 0.847
n 100, a 0.5, g 2, av_hit_count 0.546
n 100, a 0.5, g 3, av_hit_count 0.302
n 100, a 0.5, g 4, av_hit_count 0.218
n 100, a 0.5, g 5, av_hit_count 0.135
n 100, a 0.5, g 6, av_hit_count 0.104
n 100, a 0.5, g 7, av_hit_count 0.071
n 100, a 0.5, g 8, av_hit_count 0.041
n 100, a 0.5, g 9, av_hit_count 0.039
n 100, a 0.5, g 10, av_hit_count 0.026
n 100, a 0.5, g 11, av_hit_count 0.02
n 100, a 0.5, g 12, av_hit_count 0.014
n 100, a 0.5, g 13, av_hit_count 0.008
n 100, a 0.5, g 14, av_hit_count 0.011
n 100, a 0.5, g 15, av_hit_count 0.007
n 100, a 0.5, g 16, av_hit_count 0.005
n 100, a 0.5, g 17, av_hit_count 0.005
n 100, a 0.5, g 18, av_hit_count 0.004
n 100, a 0.5, g 19, av_hit_count 0.006
n 100, a 0.5, g 20, av_hit_count 0.004
n 100, a 0.5, g 21, av_hit_count 0.003
n 100, a 0.5, g 22, av_hit_count 0.002
n 100, a 0.5, g 23, av_hit_count 0.003
n 100, a 0.5, g 24, av_hit_count 0.002
n 100, a 0.5, g 25, av_hit_count 0.001
n 100, a 0.5, g 26, av_hit_count 0.001
n 100, a 0.5, g 27, av_hit_count 0
n 100, a 0.5, g 28, av_hit_count 0
n 100, a 0.5, g 29, av_hit_count 0.001
n 100, a 0.5, g 30, av_hit_count 0
n 120, a 0.5, g 1, av_hit_count 0.862
n 120, a 0.5, g 2, av_hit_count 0.559
n 120, a 0.5, g 3, av_hit_count 0.325
n 120, a 0.5, g 4, av_hit_count 0.193
n 120, a 0.5, g 5, av_hit_count 0.125
n 120, a 0.5, g 6, av_hit_count 0.095
n 120, a 0.5, g 7, av_hit_count 0.069
n 120, a 0.5, g 8, av_hit_count 0.048
n 120, a 0.5, g 9, av_hit_count 0.033
n 120, a 0.5, g 10, av_hit_count 0.024
n 120, a 0.5, g 11, av_hit_count 0.025
n 120, a 0.5, g 12, av_hit_count 0.012
n 120, a 0.5, g 13, av_hit_count 0.012
n 120, a 0.5, g 14, av_hit_count 0.009
n 120, a 0.5, g 15, av_hit_count 0.008
n 120, a 0.5, g 16, av_hit_count 0.005
n 120, a 0.5, g 17, av_hit_count 0.007
n 120, a 0.5, g 18, av_hit_count 0.01
n 120, a 0.5, g 19, av_hit_count 0.002
n 120, a 0.5, g 20, av_hit_count 0.001
n 120, a 0.5, g 21, av_hit_count 0.001
n 120, a 0.5, g 22, av_hit_count 0.004
n 120, a 0.5, g 23, av_hit_count 0.001
n 120, a 0.5, g 24, av_hit_count 0
n 120, a 0.5, g 25, av_hit_count 0.002
n 120, a 0.5, g 26, av_hit_count 0
n 120, a 0.5, g 27, av_hit_count 0.001
n 120, a 0.5, g 28, av_hit_count 0.001
n 120, a 0.5, g 29, av_hit_count 0.002
n 120, a 0.5, g 30, av_hit_count 0
n 140, a 0.5, g 1, av_hit_count 0.879
n 140, a 0.5, g 2, av_hit_count 0.56
n 140, a 0.5, g 3, av_hit_count 0.34
n 140, a 0.5, g 4, av_hit_count 0.226
n 140, a 0.5, g 5, av_hit_count 0.117
n 140, a 0.5, g 6, av_hit_count 0.075
n 140, a 0.5, g 7, av_hit_count 0.053
n 140, a 0.5, g 8, av_hit_count 0.041
n 140, a 0.5, g 9, av_hit_count 0.025
n 140, a 0.5, g 10, av_hit_count 0.022
n 140, a 0.5, g 11, av_hit_count 0.018
n 140, a 0.5, g 12, av_hit_count 0.01
n 140, a 0.5, g 13, av_hit_count 0.018
n 140, a 0.5, g 14, av_hit_count 0.012
n 140, a 0.5, g 15, av_hit_count 0.006
n 140, a 0.5, g 16, av_hit_count 0.006
n 140, a 0.5, g 17, av_hit_count 0.002
n 140, a 0.5, g 18, av_hit_count 0.002
n 140, a 0.5, g 19, av_hit_count 0.001
n 140, a 0.5, g 20, av_hit_count 0.003
n 140, a 0.5, g 21, av_hit_count 0.006
n 140, a 0.5, g 22, av_hit_count 0.003
n 140, a 0.5, g 23, av_hit_count 0.001
n 140, a 0.5, g 24, av_hit_count 0.001
n 140, a 0.5, g 25, av_hit_count 0
n 140, a 0.5, g 26, av_hit_count 0
n 140, a 0.5, g 27, av_hit_count 0.002
n 140, a 0.5, g 28, av_hit_count 0.002
n 140, a 0.5, g 29, av_hit_count 0.003
n 140, a 0.5, g 30, av_hit_count 0
n 160, a 0.5, g 1, av_hit_count 0.883
n 160, a 0.5, g 2, av_hit_count 0.581
n 160, a 0.5, g 3, av_hit_count 0.324
n 160, a 0.5, g 4, av_hit_count 0.195
n 160, a 0.5, g 5, av_hit_count 0.13
n 160, a 0.5, g 6, av_hit_count 0.085
n 160, a 0.5, g 7, av_hit_count 0.047
n 160, a 0.5, g 8, av_hit_count 0.046
n 160, a 0.5, g 9, av_hit_count 0.024
n 160, a 0.5, g 10, av_hit_count 0.017
n 160, a 0.5, g 11, av_hit_count 0.008
n 160, a 0.5, g 12, av_hit_count 0.016
n 160, a 0.5, g 13, av_hit_count 0.008
n 160, a 0.5, g 14, av_hit_count 0.007
n 160, a 0.5, g 15, av_hit_count 0.008
n 160, a 0.5, g 16, av_hit_count 0.008
n 160, a 0.5, g 17, av_hit_count 0.003
n 160, a 0.5, g 18, av_hit_count 0.005
n 160, a 0.5, g 19, av_hit_count 0.004
n 160, a 0.5, g 20, av_hit_count 0.001
n 160, a 0.5, g 21, av_hit_count 0.002
n 160, a 0.5, g 22, av_hit_count 0.001
n 160, a 0.5, g 23, av_hit_count 0
n 160, a 0.5, g 24, av_hit_count 0.002
n 160, a 0.5, g 25, av_hit_count 0.002
n 160, a 0.5, g 26, av_hit_count 0.003
n 160, a 0.5, g 27, av_hit_count 0
n 160, a 0.5, g 28, av_hit_count 0.001
n 160, a 0.5, g 29, av_hit_count 0.002
n 160, a 0.5, g 30, av_hit_count 0
