n 120, a 1.5, g 11, av_hit_count 0.034
n 120, a 1.5, g 12, av_hit_count 0.018
n 120, a 1.5, g 13, av_hit_count 0.016
n 120, a 1.5, g 14, av_hit_count 0.009
n 120, a 1.5, g 15, av_hit_count 0.009
n 120, a 1.5, g 16, av_hit_count 0.005
n 120, a 1.5, g 17, av_hit_count 0.006
n 120, a 1.5, g 18, av_hit_count 0.003
n 120, a 1.5, g 19, av_hit_count 0.001
n 120, a 1.5, g 20, av_hit_count 0.003
n 120, a 1.5, g 21, av_hit_count 0.004
n 120, a 1.5, g 22, av_hit_count 0.001
n 120, a 1.5, g 23, av_hit_count 0
n 120, a 1.5, g 24, av_hit_count 0.002
n 120, a 1.5, g 25, av_hit_count 0.001
n 120, a 1.5, g 26, av_hit_count 0
n 120, a 1.5, g 27, av_hit_count 0
n 120, a 1.5, g 28, av_hit_count 0
n 120, a 1.5, g 29, av_hit_count 0.001
n 120, a 1.5, g 30, av_hit_count 0
n 140, a 1.5, g 1, av_hit_count 0.173
n 140, a 1.5, g 2, av_hit_count 0.345
n 140, a 1.5, g 3, av_hit_count 0.425
n 140, a 1.5, g 4, av_hit_count 0.436
n 140, a 1.5, g 5, av_hit_count 0.348
n 140, a 1.5, g 6, av_hit_count 0.303
n 140, a 1.5, g 7, av_hit_count 0.215
n 140, a 1.5, g 8, av_hit_count 0.128
n 140, a 1.5, g 9, av_hit_count 0.093
n 140, a 1.5, g 10, av_hit_count 0.058
n 140, a 1.5, g 11, av_hit_count 0.047
n 140, a 1.5, g 12, av_hit_count 0.023
n 140, a 1.5, g 13, av_hit_count 0.013
n 140, a 1.5, g 14, av_hit_count 0.013
n 140, a 1.5, g 15, av_hit_count 0.01
n 140, a 1.5, g 16, av_hit_count 0.007
n 140, a 1.5, g 17, av_hit_count 0.006
n 140, a 1.5, g 18, av_hit_count 0.008
n 140, a 1.5, g 19, av_hit_count 0.002
n 140, a 1.5, g 20, av_hit_count 0.004
n 140, a 1.5, g 21, av_hit_count 0.002
n 140, a 1.5, g 22, av_hit_count 0.001
n 140, a 1.5, g 23, av_hit_count 0.002
n 140, a 1.5, g 24, av_hit_count 0
n 140, a 1.5, g 25, av_hit_count 0
n 140, a 1.5, g 26, av_hit_count 0
n 140, a 1.5, g 27, av_hit_count 0
n 140, a 1.5, g 28, av_hit_count 0
n 140, a 1.5, g 29, av_hit_count 0
n 140, a 1.5, g 30, av_hit_count 0
n 160, a 1.5, g 1, av_hit_count 0.209
n 160, a 1.5, g 2, av_hit_count 0.366
n 160, a 1.5, g 3, av_hit_count 0.449
n 160, a 1.5, g 4, av_hit_count 0.441
n 160, a 1.5, g 5, av_hit_count 0.41
n 160, a 1.5, g 6, av_hit_count 0.308
n 160, a 1.5, g 7, av_hit_count 0.243
n 160, a 1.5, g 8, av_hit_count 0.157
n 160, a 1.5, g 9, av_hit_count 0.086
n 160, a 1.5, g 10, av_hit_count 0.065
n 160, a 1.5, g 11, av_hit_count 0.039
n 160, a 1.5, g 12, av_hit_count 0.021
n 160, a 1.5, g 13, av_hit_count 0.024
n 160, a 1.5, g 14, av_hit_count 0.011
n 160, a 1.5, g 15, av_hit_count 0.011
n 160, a 1.5, g 16, av_hit_count 0.006
n 160, a 1.5, g 17, av_hit_count 0.006
n 160, a 1.5, g 18, av_hit_count 0.002
n 160, a 1.5, g 19, av_hit_count 0.004
n 160, a 1.5, g 20, av_hit_count 0.001
n 160, a 1.5, g 21, av_hit_count 0.001
n 160, a 1.5, g 22, av_hit_count 0
n 160, a 1.5, g 23, av_hit_count 0
n 160, a 1.5, g 24, av_hit_count 0
n 160, a 1.5, g 25, av_hit_count 0
n 160, a 1.5, g 26, av_hit_count 0
n 160, a 1.5, g 27, av_hit_count 0
n 160, a 1.5, g 28, av_hit_count 0
n 160, a 1.5, g 29, av_hit_count 0
n 160, a 1.5, g 30, av_hit_count 0
